2026-04-28 16:38:42 | INFO     | NativePDF | Starting native extraction for: uploads\AroundTown Focused POC SOW.pdf
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 1...
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 2...
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 3...
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 4...
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 5...
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 6...
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 7...
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 8...
2026-04-28 16:38:42 | DEBUG    | NativePDF | Processing page 9...
2026-04-28 16:38:42 | INFO     | NativePDF | Successfully extracted 437 text spans.
2026-04-28 16:38:42 | INFO     | NativePDF | Extracting embedded images from PDF...
2026-04-28 16:38:43 | INFO     | NativePDF | Extracted 11 images successfully.
2026-04-28 16:38:43 | INFO     | Segmenter | Starting segmentation for 437 elements.
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 6 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 53 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 113 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 180 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 229 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 262 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 272 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 364 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | New block started at element 434 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 16:38:43 | DEBUG    | Segmenter | Merging small block (16 chars) into next.
2026-04-28 16:38:43 | DEBUG    | Segmenter | Merging small block (18 chars) into next.
2026-04-28 16:38:43 | INFO     | Segmenter | Segmentation complete. Created 7 blocks (after merging).
2026-04-28 16:38:43 | INFO     | MainPipeline | Success! Ground Truth saved to: evaluation_results\AroundTown Focused POC SOW\AroundTown Focused POC SOW_ground_truth.txt
2026-04-29 09:35:29 | INFO     | MainPipeline | --- Processing Started: AroundTown Focused POC SOW.pdf ---
2026-04-29 09:35:29 | INFO     | Router | Analyzing file extension: .pdf
2026-04-29 09:35:29 | INFO     | Router | Performing deep analysis on PDF...
2026-04-29 09:35:29 | INFO     | Router | Route identified: PDF (Native Text)
2026-04-29 09:35:29 | INFO     | NativePDF | Starting native extraction for: uploads\AroundTown Focused POC SOW.pdf
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 1...
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 2...
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 3...
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 4...
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 5...
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 6...
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 7...
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 8...
2026-04-29 09:35:29 | DEBUG    | NativePDF | Processing page 9...
2026-04-29 09:35:29 | INFO     | NativePDF | Successfully extracted 437 text spans.
2026-04-29 09:35:29 | INFO     | NativePDF | Extracting embedded images from PDF...
2026-04-29 09:35:29 | INFO     | NativePDF | Extracted 11 images successfully.
2026-04-29 09:35:29 | INFO     | Segmenter | Starting segmentation for 437 elements.
2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 6 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 53 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 113 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 180 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 229 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 262 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 09:35:29 | DEBUG    | Segmenter | New block started at element 272 (Reason: Font=False, Gap=True, Style=False)
